"id","question_text","category","difficulty","expected_answer","created_at","skills","question_type","source","embedding"
247,Explain the differences between SQL and MySQL?,Database,Intermediate,SQL is a language; MySQL is a software system. SQL defines how to interact with data; MySQL provides the environment to store and manage data. SQL is used across various RDBMS; MySQL is a specific RDBMS that uses SQL.,2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
248,What is the MySQL server's default port?,Database,Beginner,"The default port for MySQL server is 3306. This is the port number used by MySQL to communicate with clients and other services by default, unless it is configured to use a different port in the MySQL configuration file ( my.cnf or my.ini ).",2026-06-16 12:45:40.229,{MySQL},Technical,gfg,
249,How can we learn batch mode in MySQL?,Database,Intermediate,Batch mode in MySQL is used to execute a series of SQL queries from a file (often referred to as a batch file). The file contains multiple SQL statements that are executed in sequence. Here's the correct way to run MySQL in batch mode: mysql -u username -p database_name < batch-file.sql,2026-06-16 12:45:40.229,"{MySQL,SQL}",Technical,gfg,
250,How many different tables are present in MySQL?,Database,Beginner,"There are several storage engines in MySQL, and the table types depend on which storage engine is used. The common storage engines are: InnoDB (default in MySQL for transactional data) MyISAM (older, non-transactional storage engine) MEMORY (stores data in memory) CSV (stores data in CSV files) ARCHIVE (used for storing large amounts of data, read-only)",2026-06-16 12:45:40.229,{MySQL},Technical,gfg,
251,What arethe differences between CHAR and VARCHAR data types in MySQL?,Database,Intermediate,Storage and retrieval have been different for CHAR and VARCHAR. Column length is fixed in CHAR but VARCHAR length is variable. CHAR is faster than VARCHAR. CHAR datatype can hold a maximum of 255 characters while VARCHAR can store up to 4000 characters.,2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
252,What is Difference between CHAR_LENGTH and LENGTH?,Database,Beginner,"LENGTH : Returns the byte count of a string. For multi-byte characters, it counts the total number of bytes used. CHAR_LENGTH : Returns the character count of a string, counting each character regardless of byte size. Example : SELECT LENGTH('Hello'); -- Returns 5 (1 byte per character in ASCII) SELECT CHAR_LENGTH('Hello'); -- Returns 5 (5 characters)",2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
253,What do you understand by % and _ in the like statement?,Database,Intermediate,"In the LIKE statement, the % and _ symbols are used for pattern matching: % : Represents zero or more characters. It matches any sequence of characters, including an empty sequence. _ : Represents exactly one character. It matches any single character. Example: SELECT  FROM Employees WHERE Name LIKE 'J%n'; SELECT  FROM Employees WHERE Name LIKE 'J_n';",2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
254,How many index columns can be created in a table?,Database,Advanced,There are 16 indexed columns can be created in a table.,2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
255,What are string types available for columns?,Database,Intermediate,There are six string types available for the column. SET BLOB TEXT ENUM CHAR VARCHAR,2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
256,Explain the main difference between FLOAT and DOUBLE?,Database,Advanced,"FLOAT: A single-precision floating-point number. It stores a 4-byte representation of the number with a precision of 7 decimal digits. DOUBLE: A double-precision floating-point number. It stores an 8-byte representation of the number with a precision of 15 decimal digits. Example: CREATE TABLE example ( float_value FLOAT, double_value DOUBLE );",2026-06-16 12:45:40.229,"{SQL,MySQL}",Technical,gfg,
2,How can you concatenate two lists in Python?,Python,Intermediate,"We can concatenate two lists in Python using the +operator or the extend() method. 1. + operator: This creates a new list by joining two lists together. Python a = [ 1 , 2 , 3 ] b = [ 4 , 5 , 6 ] res = a + b print ( res ) Output [1, 2, 3, 4, 5, 6] 2. extend() : This adds all the elements of the second list to the first list in-place. Python a = [ 1 , 2 , 3 ] b = [ 4 , 5 , 6 ] a . extend ( b ) print ( a ) Output [1, 2, 3, 4, 5, 6]",2026-06-16 12:45:40.229,{Python},Technical,gfg,
269,What types of relationships are used in MySQL?,MySQL,Intermediate,There are three types of relationships used in MySQL. One-to-one: Elements with a one to one relationship can be included as columns in the table. One-to-many: One to many or many to one relationships both are same. It will occur when one row in a table is related to multiple rows in different table. Many-to-many: Many rows in a table are related to many rows in different table is called many to many relationship.,2026-06-16 12:45:40.229,{SQL},Technical,gfg,
270,How to insert Date in MySQL?,MySQL,Intermediate,"We can use INSERT statement to insert date in MySQL table. MySQL default date format is YYYY-MM-DD. Automatic MySQL consist many data types to store dates. DATE DATETIME TIMESTAMP YEAR Syntax: INSERT INTO table_name (column_name, column_date) VALUES ('DATE: Manual Date', '2023-5-20');",2026-06-16 12:45:40.229,{SQL},Technical,gfg,
433,How Do You Share Data Between Containers in Docker?,Docker,Beginner,"In Docker, you can share data between the containers on using volumes or by utilizing the ` --volumes-from` option. Volumes will provide a persistent and the shared storage mechanism, allowing the data to be accessed and modified by multiple containers. Alternatively, the --volumes-from option allows the container to access the volumes of another container. This provides the seamless data sharing and collaboration between the containers, through facilitating the communication and coordination in complex multi-container setups.",2026-06-16 12:45:40.229,{Docker},Technical,gfg,
500,What is rsync and why is it better than scp?,Linux,Intermediate,rsync transfers only changed data and supports compression and resume. This makes it faster and more efficient for backups and sync jobs.,2026-06-16 12:45:40.229,{Linux},Technical,gfg,
9,How are arguments passed by value or by reference in Python?,Python,Advanced,"Python’s argument-passing model is neither “Pass by Value” nor “Pass by Reference” but it is “Pass by Object Reference”. Function arguments are passed as references to objects. Mutable objects (such as lists and dictionaries) can be modified inside a function. Immutable objects (such as integers, strings and tuples) cannot be changed in place. You can check the difference between pass-by-value and pass-by-reference in the example below: Python def call_by_val ( x ): x = x * 2 return x def call_by_ref ( b ): b . append ( ""D"" ) return b a = [ ""E"" ] num = 6 # Call functions updated_num = call_by_val ( num ) updated_list = call_by_ref ( a ) # Print after function calls print ( ""Updated value after call_by_val:"" , updated_num ) print ( ""Updated list after call_by_ref:"" , updated_list ) Output Updated value after call_by_val: 12 Updated list after call_by_ref: ['E', 'D']",2026-06-16 12:45:40.229,{Python},Technical,gfg,
10,What is a lambda function?,Python,Intermediate,"A lambda function is an anonymous function. This function can have any number of parameters but, can have just one statement. In the example, we defined a lambda function(upper) to convert a string to its upper case using upper(). Python s1 = 'GeeksforGeeks' s2 = lambda func : func . upper () print ( s2 ( s1 )) Output GEEKSFORGEEKS",2026-06-16 12:45:40.229,{Python},Technical,gfg,
11,What is List Comprehension? Give an Example.,Python,Intermediate,"List comprehension is a way to create lists using a concise syntax. It allows us to generate a new list by applying an expression to each item in an existing iterable (such as a list or range). This helps us to write cleaner, more readable code compared to traditional looping techniques. For example, if we have a list of integers and want to create a new list containing the square of each element, we can easily achieve this using list comprehension. Python a = [ 2 , 3 , 4 , 5 ] res = [ val  2 for val in a ] print ( res ) Output [4, 9, 16, 25]",2026-06-16 12:45:40.229,{Python},Technical,gfg,
136,What is a view in SQL?,SQL,Intermediate,"A view is a virtual table created from a SELECT query that displays data from one or more tables without storing it, helping simplify queries and improve security.",2026-06-16 12:45:40.229,{SQL},Technical,gfg,
29,What are Decorators?,Python,Intermediate,"Decorators is a flexible way to modify or extend the behavior of functions or methods, without changing their actual code. A decorator is essentially a function that takes another function as an argument and returns a new function with enhanced functionality. Decorators are often used in scenarios such as logging, authentication and memorization, allowing us to add additional functionality to existing functions or methods in a clean, reusable way.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
30,How do you debug a Python program?,Python,Intermediate,"1. Using pdb (Python Debugger): pdb is a built-in module that allows you to set breakpoints and step through the code line by line. You can start the debugger by adding import pdb; pdb.set_trace() in your code where you want to begin debugging. Python import pdb x = 5 pdb . set_trace () # Debugger starts here print ( x ) Output > /home/repl/02c07243-5df9-4fb0-a2cd-54fe6d597c80/main.py(4)<module>() -> print(x) (Pdb) 2. Using logging Module: For more advanced debugging, the logging module provides a flexible way to log messages with different severity levels (INFO, DEBUG, WARNING, ERROR, CRITICAL). Python import logging logging . basicConfig ( level = logging . DEBUG ) logging . debug ( ""This is a debug message"" ) Output DEBUG:root:This is a debug message",2026-06-16 12:45:40.229,{Python},Technical,gfg,
31,What are Iterators in Python?,Python,Intermediate,"In Python, iterators are used to iterate a group of elements, containers like a list. Iterators work on iterable objects such as lists, tuples and dictionaries. Python iterator implements __iter__() and the next() methods to iterate the stored elements. We generally use loops to iterate over the collections (list, tuple) in Python.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
32,What are Generators in Python?,Python,Intermediate,"Generators are a simple and memory-efficient way to create iterators in Python. They generate values one at a time only when needed, rather than storing all values in memory at once. A function becomes a generator if it contains the yield statement. Each time yield is executed, the function returns a value and pauses its execution. When the next value is requested, execution resumes from where it left off. Generators automatically implement the __iter__() and __next__() methods, which allows them to be used directly in loops and with the next() function.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
33,Does Python supports multiple Inheritance?,Python,Intermediate,"When a class is derived from more than one base class it is called multiple Inheritance. The derived class inherits all the features of the base case. Multiple Inheritance Python does support multiple inheritances , unlike some programming languages that restrict multiple inheritance of classes. For example: Python class A : def method_a ( self ): print ( ""Method from class A"" ) class B : def method_b ( self ): print ( ""Method from class B"" ) class C ( A , B ): pass obj = C () obj . method_a () obj . method_b () Output Method from class A Method from class B Explanation: A and B are parent classes, each defining one method. C(A, B) inherits from both parent classes. obj = C() creates an object of class C. The object obj can call methods from both A and B.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
55,What is Pydantic?,Python,Intermediate,"Pydantic, on the other hand, is a Python library designed for data validation and parsing. It offers a straightforward way to define data models and ensures that incoming data adheres to those models. This validation and parsing process simplifies the task of guaranteeing that your application receives data in the correct format, promoting robustness and data integrity. Pydantic models allow you to specify the structure and expected data types for various inputs, such as API request payloads.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
56,How does Django work?,Django,Intermediate,"Django follows the Model-View-Template (MVT) architecture to handle web requests: Client Request: A user sends a request to the Django server (via browser or API call). URL Routing: Django’s urls.py maps the request to the appropriate view. View Processing: The view receives the request, interacts with models or external APIs, and processes data. Model Interaction: Models (via Django ORM) retrieve, update, or delete data from the database. Template Rendering: The view passes data to a template, which generates HTML dynamically. Response: Django sends the rendered HTML or JSON response back to the client.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
57,What are the Features of using Django?,Django,Intermediate,"Django comes with several built-in features that make web development faster and more efficient: Object-Relational Mapper (ORM): Simplifies database operations with Python objects. Web Templating System: Dynamically generates HTML content. Middleware Support: Handles request/response processing globally. URL Dispatcher: Uses clean, regex-based (and now path-based) routing. Admin Interface: Auto-generated admin panel for managing data. Unit Testing Framework: Built-in tools for testing applications. SEO Optimized: Supports human-readable URLs and metadata handling. Security Features: Protection against CSRF, XSS, SQL Injection, etc. Code Reusability & Inheritance: Encourages modular, maintainable apps. Flexible Deployment: Compatible with multiple databases and server setups.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
58,What is the difference between Flask and Django?,Django vs Flask,Intermediate,"Flask Django Flask is a WSGI framework Django is a Full-stack web framework It allows multiple types of databases. It doesn't support multiple types of databases. Use SQL Alchemy Build-in ORM Diversified Working Style Monolithic Working Style Arbitrary structure Conventional Project Structure It supports API It does not have any support for API It does not support Dynamic HTML pages Django accepts Dynamic Pages. It has support for Visual debug No support for Visual Debug It doesn't offer a built-in bootstrapping tool. Django-admin enables us to start building web applications without any external input, URL dispatcher is a RESTful request. URL dispatcher is Robust Documentation.",2026-06-16 12:45:40.229,"{Python,""Web Development""}",Technical,gfg,
59,What is the purpose of Django apps?,Django Apps,Intermediate,"Django apps exist to make projects organized, reusable, and scalable. Instead of writing everything in one place, Django encourages breaking functionality into independent apps. Each app focuses on a specific feature or functionality (e.g., blog, authentication, payments). Apps are reusable across different projects without rewriting code. They improve maintainability, as developers can work on separate apps independently. They support scalability, ensuring projects don’t become monolithic and unmanageable.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
60,What are Django URLs?,Django URLs,Intermediate,"In Django, URLs define the routing of a web application. They are managed in a urls.py file, which maps URL patterns to specific view functions or classes. When a user enters a URL in the browser, Django matches it against the patterns in urls.py. If a match is found, the corresponding view is executed and returns a response. This makes navigation and request handling organized and modular.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
502,How do you check scheduled cron jobs for a user?,Linux,Intermediate,crontab -l System-wide cron jobs are located in /etc/cron.* directories.,2026-06-16 12:45:40.229,{Linux},Technical,gfg,
39,What is slicing in Python?,Python,Intermediate,"Python Slicing is a technique used to extract a portion of a sequence such as a string, list, tuple or range. It allows you to specify a starting index, an ending index and an optional step value. Syntax: substring = s[start : end : step]",2026-06-16 12:45:40.229,{Python},Technical,gfg,
40,What is a namespace in Python?,Python,Intermediate,"A namespace in Python refers to a container where names (variables, functions, objects) are mapped to objects. In simple terms, a namespace is a space where names are defined and stored and it helps avoid naming conflicts by ensuring that names are unique within a given scope. Namespace Types of Namespaces : Built-in Namespace: Contains all the built-in functions and exceptions, like print(), int(), etc. These are available in every Python program. Global Namespace: Contains names from all the objects, functions and variables in the program at the top level. Local Namespace : Refers to names inside a function or method. Each function call creates a new local namespace.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
41,What is PIP?,Python,Intermediate,"PIP stands for ""Pip Installs Packages."" It is Python’s standard package manager used to install, upgrade and manage third-party libraries and dependencies from the Python Package Index (PyPI). Used to install Python packages from PyPI. Comes pre-installed with most modern Python distributions. Supports installing, upgrading and uninstalling packages. Works from the command line. Example: pip install numpy",2026-06-16 12:45:40.229,{Python},Technical,gfg,
42,What is a zip function?,Python,Intermediate,"Python zip() function returns a zip object, which maps a similar index of multiple containers. It takes an iterable, converts it into an iterator and aggregates the elements based on iterables passed. It returns an iterator of tuples. Syntax: zip(*iterables)",2026-06-16 12:45:40.229,{Python},Technical,gfg,
43,What are Pickling and Unpickling?,Python,Advanced,"Pickling: The pickle module converts any Python object into a byte stream (not a string representation). This byte stream can then be stored in a file, sent over a network or saved for later use. The function used for pickling is pickle.dump(). Unpickling: The process of retrieving the original Python object from the byte stream (saved during pickling) is called unpickling. The function used for unpickling is pickle.load().",2026-06-16 12:45:40.229,{Python},Technical,gfg,
44,"What is the difference between @classmethod, @staticmethod and instance methods in Python?",Python,Intermediate,"Instance Method: Operates on an instance of the class and has access to instance attributes and takes self as the first parameter. Class Method: Works with the class and takes cls as the first parameter. It is defined using @classmethod. Static Method: Does not access instance (self) or class (cls) data. It is defined using @staticmethod and is commonly used for utility functions related to the class. Example: Python class Student : school = ""ABC School"" # Instance method def display ( self , name ): print ( f ""Student Name: { name } "" ) # Class method @classmethod def show_school ( cls ): print ( f ""School: { cls . school } "" ) # Static method @staticmethod def is_adult ( age ): return age >= 18 s = Student () # Instance method s . display ( ""Kevin"" ) # Class method Student . show_school () # Static method print ( Student . is_adult ( 20 )) Output Student Name: Kevin School: ABC School True",2026-06-16 12:45:40.229,{Python},Technical,gfg,
47,What are Access Specifiers in Python?,Python,Intermediate,"Python uses the ‘_’ symbol to determine the access control for a specific data member or a member function of a class. A Class in Python has three types of Python access modifiers : Public Access Modifier: Members declared normally (without any underscore) are public and can be accessed from anywhere. Protected Access Modifier: Members prefixed with a single underscore (_) are intended for internal use within the class and its subclasses. They can still be accessed from outside the class, but this is discouraged by convention. Private Access Modifier: Members prefixed with double underscores (__) are name-mangled by Python to make accidental access from outside the class more difficult. Example: Python class Student : def __init__ ( self ): # Public self . name = ""Mike"" # Protected self . _roll_no = 101 # Private self . __marks = 95 obj = Student () print ( obj . name ) print ( obj . _roll_no ) print ( obj . _Student__marks ) Output Mike 101 95 Explanation: name is a public attribute and can be accessed directly. _roll_no is a protected attribute, it is accessible outside the class but intended for internal use. __marks is a private attribute and is automatically renamed internally. obj._Student__marks accesses the private attribute using Python's name mangling mechanism.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
50,What are Function Annotations in Python?,Python,Intermediate,"Function Annotation is a feature that allows you to add metadata to function parameters and return values. This way you can specify the input type of the function parameters and the return type of the value the function returns. Function annotations are arbitrary Python expressions that are associated with various parts of functions. These expressions are evaluated at compile time and have no life in Python’s runtime environment. Python does not attach any meaning to these annotations. They take life when interpreted by third-party libraries, for example, mypy.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
51,What are Exception Groups in Python?,Python,Advanced,"Exception Groups are a feature introduced in Python 3.11 that allow multiple exceptions to be grouped together and handled in a structured way. They are particularly useful when several operations may fail independently, such as in concurrent or asynchronous programs. ExceptionGroup class is used to combine multiple exceptions into a single object and the except syntax is used to handle specific exception types within the group. Python try : raise ExceptionGroup ( ""Example ExceptionGroup"" , [ TypeError ( ""Example TypeError"" ), ValueError ( ""Example ValueError"" ), KeyError ( ""Example KeyError"" ), AttributeError ( ""Example AttributeError"" ), ] ) except  TypeError : print ( ""Handled TypeError"" ) except  ValueError : print ( ""Handled ValueError"" ) except  ( KeyError , AttributeError ): print ( ""Handled KeyError and AttributeError"" ) Output Handled TypeError Handled ValueError Handled KeyError and AttributeError",2026-06-16 12:45:40.229,{Python},Technical,gfg,
52,What is Python Switch Statement?,Python,Intermediate,"Python does not have a traditional switch statement like languages such as C, C++ or Java. Starting with Python 3.10, however, Python introduced structural pattern matching using the match and case keywords, which provides similar functionality. Python match term : case pattern - 1 : action - 1 case pattern - 2 : action - 2 case pattern - 3 : action - 3 case _ : action - default",2026-06-16 12:45:40.229,{Python},Technical,gfg,
271,What is join? Tell different join in MySQL.,MySQL,Intermediate,"JOINs in MySQL are used to combine rows from two or more tables based on a related column. The most common types of joins are: 1. INNER JOIN : Returns records that have matching values in both tables. SELECT  FROM table1 INNER JOIN table2 ON table1.id = table2.id; 2. LEFT JOIN (or LEFT OUTER JOIN ): Returns all records from the left table and matched records from the right table. If there’s no match, NULL values are returned for the right table. SELECT  FROM table1 LEFT JOIN table2 ON table1.id = table2.id; 3. RIGHT JOIN (or RIGHT OUTER JOIN ): Returns all records from the right table and matched records from the left table. If there’s no match, NULL values are returned for the left table. SELECT  FROM table1 RIGHT JOIN table2 ON table1.id = table2.id; 4. FULL JOIN (MySQL does not support FULL JOIN natively): Returns all records when there is a match in either left (table1) or right (table2). SELECT  FROM table1 LEFT JOIN table2 ON table1.id = table2.id UNION SELECT * FROM table1 RIGHT JOIN table2 ON table1.id = table2.id;",2026-06-16 12:45:40.229,{SQL},Technical,gfg,
272,What is a primary key? How to drop the primary key in MySQL?,MySQL,Intermediate,A primary key in MySQL is a single field or a group of fields that are used to uniquely identify each record in a table. A primary key cannot be null or empty. ALTER TABLE statement is used to delete a primary key from a table. Syntax: ALTER TABLE table_name DROP PRIMARY KEY;,2026-06-16 12:45:40.229,{SQL},Technical,gfg,
